,小区名称,price,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,别墅类型
0,金成国际广场,149.9万,金水区 枣庄 近2号线东风路站,3室2厅1厨2卫,中楼层 (共23层),170.24㎡,平层,143.97㎡,塔楼,南 北,钢混结构,简装,两梯四户,自供暖,有,2022-08-24,商品房,2011-07-19,普通住宅,满五年,非共有,有抵押 60万元 中原银行 业主自还,已上传房本照片,,,
1,民航新村,156万,金水区 财富广场 ,3室1厅1厨1卫,低楼层 (共7层),90.44㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,集中供暖,无,2022-08-23,商品房,2018-11-22,普通住宅,满两年,非共有,有抵押 114万元 工商银行 客户偿还,已上传房本照片,,,
2,明珠小城,88万,金水区 沙口路 近5号线沙口路站,2室1厅1厨1卫,中楼层 (共6层),80.61㎡,平层,暂无数据,板楼,南 北,混合结构,简装,两梯两户,自供暖,有,2022-08-21,商品房,2008-10-03,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
3,中方园东区,78万,金水区 陈寨 ,2室2厅1厨1卫,中楼层 (共7层),99.81㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,2022-08-22,商品房,2001-08-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
4,开元小区,125万,金水区 南阳路 近3号线南阳新村站,3室2厅1厨1卫,中楼层 (共7层),126.82㎡,平层,115.95㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2022-08-21,商品房,2016-08-12,普通住宅,满五年,非共有,有抵押 70万元 交通银行 业主自还,已上传房本照片,,,
5,大观国际居住区,248万,金水区 燕庄 ,3室1厅1厨2卫,低楼层 (共33层),133.12㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-08-20,商品房,2017-11-22,普通住宅,满两年,非共有,有抵押 90万元 客户偿还,已上传房本照片,,,
6,中方园东区,106万,金水区 陈寨 ,2室2厅1厨1卫,中楼层 (共7层),128.71㎡,平层,暂无数据,板楼,东,混合结构,简装,一梯两户,自供暖,无,2022-08-24,商品房,2017-02-10,普通住宅,满五年,非共有,有抵押 95万元,已上传房本照片,,,
7,开祥御龙城,125万,金水区 绿茵广场 近3号线同乐站,3室1厅1厨1卫,高楼层 (共33层),88.92㎡,平层,62.47㎡,塔楼,北,钢混结构,精装,四梯十二户,集中供暖,有,2022-08-07,商品房,2016-08-10,普通住宅,满五年,非共有,有抵押 40万元 金融公司垫资,已上传房本照片,,,
8,文劳路9号院,130万,金水区 省中医院 ,3室2厅1厨1卫,低楼层 (共11层),123.12㎡,平层,104.59㎡,板塔结合,南 北,钢混结构,简装,一梯六户,自供暖,有,2022-08-15,商品房,2020-04-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
9,晖达优胜小区,72万,金水区 大石桥 近3号线大石桥站,3室1厅1厨1卫,高楼层 (共7层),86.72㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,自供暖,无,2022-08-21,商品房,2016-12-27,普通住宅,满五年,非共有,有抵押 60万元,已上传房本照片,,,
10,永恒理想公元,130万,金水区 东建材 近3号线凤凰台站,2室2厅1厨1卫,高楼层 (共24层),89.39㎡,平层,63.8㎡,塔楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-08-22,商品房,2016-07-29,普通住宅,满五年,非共有,有抵押 35万元,已上传房本照片,,,
11,伟业栖岸,175万,金水区 燕庄 近4号线商鼎路站,3室2厅1厨1卫,低楼层 (共15层),120.45㎡,平层,94.52㎡,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2022-08-15,商品房,2016-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
12,非常国际,235万,金水区 枣庄 ,3室2厅1厨2卫,高楼层 (共24层),145.5㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-08-15,商品房,2017-01-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
13,中方园东区,123.5万,金水区 陈寨 ,6室2厅1厨2卫,高楼层 (共7层),185.64㎡,复式,166.42㎡,板楼,南 北,砖混结构,毛坯,一梯两户,自供暖,无,2020-12-04,商品房,2011-08-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
14,聚福园,86万,金水区 普罗旺世 近4号线北二十里铺站,3室2厅1厨1卫,高楼层 (共11层),98.26㎡,平层,84.46㎡,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,2022-08-23,商品房,2019-10-25,普通住宅,满两年,非共有,有抵押 75万元,已上传房本照片,,,
15,紫荆花园,182万,金水区 紫荆山公园 近3号线郑州文庙站,4室2厅1厨2卫,低楼层 (共6层),158.63㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯一户,自供暖,暂无数据,2022-08-26,商品房,2003-11-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
16,同乐花园,129万,金水区 轻工业学院 近3号线同乐站,4室2厅1厨2卫,中楼层 (共7层),145.68㎡,平层,120.63㎡,平房,南,混合结构,简装,一梯两户,集中供暖,无,2022-08-24,商品房,2012-02-08,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
17,叠翠园,104.5万,金水区 沙口路 ,2室2厅1厨1卫,低楼层 (共6层),95.71㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,自供暖,无,2022-08-17,商品房,2003-08-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
18,维也纳森林花园,150万,金水区 汽配大世界 ,3室2厅1厨1卫,低楼层 (共32层),125.92㎡,暂无数据,95.39㎡,塔楼,南,钢混结构,简装,两梯六户,集中供暖,有,2022-07-27,商品房,2014-02-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
19,西里路54号院,148万,金水区 人民路 近1号线人民路站,3室2厅1厨1卫,中楼层 (共7层),114.94㎡,平层,暂无数据,板塔结合,南 北,混合结构,简装,一梯一户,集中供暖,暂无数据,2022-08-17,商品房,2005-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
20,经纬花园,377万,金水区 花园路 近5号线省人民医院站,3室2厅1厨2卫,中楼层 (共21层),162.43㎡,平层,134.51㎡,板楼,东 南 北,钢混结构,简装,两梯三户,集中供暖,有,2022-08-01,商品房,2016-03-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
21,瀚宇新城,148万,金水区 索凌路北段 ,3室2厅1厨2卫,低楼层 (共27层),133.53㎡,平层,107.69㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2022-08-11,商品房,2019-10-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
22,绿城水岸名苑,138万,金水区 燕庄 ,3室1厅1厨2卫,中楼层 (共26层),107.75㎡,平层,90.57㎡,塔楼,南,钢混结构,简装,三梯十一户,集中供暖,有,2022-08-05,商品房,2009-12-17,普通住宅,满五年,非共有,有抵押,已上传房本照片,,,
23,瀚宇天悦一期,265万,金水区 索凌路北段 ,4室2厅1厨2卫,低楼层 (共33层),131.55㎡,平层,102.63㎡,塔楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-08-10,商品房,2020-08-18,普通住宅,满两年,非共有,有抵押 110万元 业主自还,已上传房本照片,,,
24,文华西区,113万,金水区 省中医院 ,3室2厅1厨1卫,低楼层 (共7层),129.17㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,自供暖,无,2022-07-31,商品房,2002-07-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
25,银基王朝4期东南御,287万,金水区 燕庄 ,4室2厅1厨2卫,中楼层 (共28层),152.26㎡,平层,106.11㎡,塔楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2021-10-10,商品房,2017-01-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
26,星威花园,100万,金水区 青少年公园 ,3室2厅1厨1卫,高楼层 (共6层),113.5㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,2022-07-30,商品房,2004-04-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
27,维也纳森林花园,211万,金水区 汽配大世界 ,4室2厅1厨2卫,中楼层 (共33层),144.46㎡,平层,111.6㎡,板楼,北 南,钢混结构,精装,两梯四户,集中供暖,有,2022-07-31,商品房,2015-09-28,普通住宅,满五年,非共有,有抵押 80万元 光大 金融公司垫资,已上传房本照片,,,
28,国瑞静香园,149.5万,金水区 普罗旺世 近4号线北二十里铺站,3室2厅1厨2卫,中楼层 (共18层),140.41㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2022-08-01,商品房,2015-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
29,江山名典,100万,金水区 省中医院 ,2室2厅1厨1卫,中楼层 (共11层),88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,自供暖,有,2022-08-11,商品房,2008-01-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
30,省政府家属院,116万,金水区 省人民医院 ,2室1厅1厨1卫,高楼层 (共18层),69.82㎡,平层,暂无数据,板楼,西,钢混结构,简装,两梯八户,集中供暖,有,2022-08-13,商品房,2001-12-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
31,七中家属院,88万,金水区 大石桥 近3号线大石桥站,2室1厅1厨1卫,中楼层 (共5层),46.92㎡,平层,40.59㎡,塔楼,南 北,混合结构,简装,一梯三户,集中供暖,暂无数据,2022-08-23,商品房,2005-06-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
32,康桥朗城一号院,129万,金水区 新北站 近2号线刘庄站,3室2厅1厨1卫,高楼层 (共26层),89.56㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2022-08-14,商品房,2020-08-15,普通住宅,满两年,非共有,有抵押 90万元,已上传房本照片,,,
33,汉飞城市公园一期,140万,金水区 汽配大世界 近2号线柳林站,3室2厅1厨2卫,低楼层 (共12层),116.2㎡,平层,98.26㎡,板塔结合,南 北,钢混结构,简装,一梯三户,自供暖,有,2022-08-19,商品房,2012-07-12,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,,,
34,正弘数码公寓,43万,金水区 文博广场 近2号线东风路站,1室0厅1厨1卫,中楼层 (共32层),22.17㎡,平层,17.16㎡,板塔结合,西南,钢混结构,精装,三梯二十四户,集中供暖,有,2022-08-23,商品房,2012-02-21,普通住宅,满五年,非共有,有抵押 6万元 客户偿还,已上传房本照片,,,
35,普罗旺世波特兰,137万,金水区 普罗旺世 近4号线北二十里铺站,3室2厅1厨1卫,中楼层 (共34层),88.39㎡,平层,68.72㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2022-08-14,商品房,2015-09-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
36,安泰嘉园,366万,金水区 北站 ,4室2厅1厨2卫,中楼层 (共18层),203.45㎡,平层,173㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-08-17,商品房,2016-07-07,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
37,广汇·PAMA,327万,金水区 未来大厦 近1号线会展中心站,3室2厅1厨2卫,高楼层 (共31层),164.12㎡,平层,129.89㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-08-08,商品房,2009-06-26,普通住宅,满五年,非共有,有抵押 25万元 浦发银行 业主自还,已上传房本照片,,,
38,经七路16附1号,67万,金水区 花园路 近2号线关虎屯站,2室2厅1厨1卫,高楼层 (共6层),95.6㎡,平层,86.93㎡,板楼,南 北,钢混结构,其他,一梯两户,自供暖,无,2022-08-21,房改房,2009-11-09,普通住宅,满五年,非共有,有抵押,已上传房本照片,,,
39,天伦水晶城,115万,金水区 陈寨 ,2室2厅1厨1卫,中楼层 (共30层),108.22㎡,平层,80.2㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-08-14,商品房,2013-05-13,普通住宅,满五年,非共有,有抵押 35万元,已上传房本照片,,,
40,正弘旗,265万,金水区 枣庄 ,4室3厅1厨2卫,低楼层 (共33层),147.27㎡,平层,109.37㎡,塔楼,南,钢混结构,精装,两梯三户,集中供暖,有,2022-08-20,商品房,2010-04-27,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,,,
41,和昌悦澜,150万,金水区 新北站 近2号线刘庄站,3室2厅1厨1卫,低楼层 (共26层),89.1㎡,平层,65.46㎡,板塔结合,南,钢混结构,其他,两梯四户,集中供暖,有,2022-08-23,商品房,2018-05-29,普通住宅,满两年,非共有,有抵押 93万元,已上传房本照片,,,
42,肿瘤医院家属院,169万,金水区 省人民医院 近1号线燕庄站,3室2厅1厨1卫,中楼层 (共7层),113.55㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,暂无数据,2022-08-23,房改房,2022-08-22,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,
43,安泰嘉园,275万,金水区 北站 ,4室2厅1厨2卫,中楼层 (共17层),174㎡,平层,140㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-08-17,商品房,2014-09-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
44,省供销社社区,168万,金水区 花园路 近2号线黄河路站,2室1厅1厨1卫,低楼层 (共7层),71.95㎡,平层,66.5㎡,板楼,南,混合结构,精装,一梯两户,集中供暖,有,2022-08-18,房改房,2017-11-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
45,孟砦南街6号院,72万,金水区 沙口路 近3号线南阳新村站,2室2厅2厨1卫,高楼层 (共7层),97.01㎡,平层,86.43㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,2022-08-18,商品房,2013-01-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
46,建文社区,46.5万,金水区 花园路 近5号线郑州人民医院站,2室1厅1厨1卫,低楼层 (共6层),53.37㎡,平层,暂无数据,板塔结合,南 北,砖混结构,简装,一梯三户,自供暖,无,2022-08-21,商品房,2022-08-21,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,,
47,关虎屯小区,140万,金水区 花园路 ,4室2厅1厨2卫,低楼层 (共14层),160.63㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯三户,集中供暖,有,2022-07-17,商品房,2008-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
48,君悦城,155万,金水区 财富广场 近5号线省人民医院站,3室1厅1厨1卫,高楼层 (共23层),103.76㎡,平层,78.3㎡,塔楼,南,钢混结构,精装,两梯四户,集中供暖,有,2019-06-24,商品房,2012-10-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
49,国税小区,110万,金水区 火车站 近3号线大石桥站,3室2厅1厨1卫,中楼层 (共7层),115.2㎡,暂无数据,104㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2022-04-02,商品房,2012-03-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
50,中亨文华苑,150万,金水区 花园路 ,2室2厅1厨1卫,中楼层 (共22层),131.7㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2022-04-20,商品房,2007-05-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
51,华林都市家园,146万,金水区 南阳路 ,3室2厅1厨2卫,中楼层 (共6层),133.41㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2022-06-10,商品房,2019-05-05,普通住宅,满两年,非共有,有抵押 128万元 银行 金融公司垫资,已上传房本照片,,,
52,华林都市家园,188万,金水区 南阳路 ,4室2厅1厨2卫,低楼层 (共22层),155.48㎡,平层,121.16㎡,塔楼,东 南 北,钢混结构,简装,两梯四户,集中供暖,有,2022-06-22,商品房,2013-12-13,普通住宅,满五年,共有,有抵押 50万元 0 金融公司垫资,已上传房本照片,,,
53,升龙汇金广场一号院,117万,金水区 南阳路 ,3室2厅1厨1卫,高楼层 (共26层),90.15㎡,平层,69.68㎡,塔楼,南,钢混结构,精装,两梯五户,集中供暖,有,2022-05-20,商品房,2018-10-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
54,宋砦小区3号院,80万,金水区 绿茵广场 近3号线兴隆铺站,3室2厅1厨1卫,中楼层 (共7层),128.38㎡,平层,暂无数据,板塔结合,南 北,砖混结构,简装,一梯两户,自供暖,无,2022-03-18,商品房,2019-01-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
55,福元路45号院,123万,金水区 燕庄 近1号线燕庄站,3室2厅1厨1卫,中楼层 (共7层),127.51㎡,平层,116.56㎡,板楼,南,砖混结构,简装,一梯两户,集中供暖,无,2021-12-25,商品房,2003-02-13,普通住宅,满五年,非共有,有抵押 80万元,已上传房本照片,,,
56,经三名筑,169万,金水区 汽配大世界 ,3室2厅1厨2卫,中楼层 (共32层),132.43㎡,平层,105.12㎡,板塔结合,南,钢混结构,简装,两梯四户,自供暖,有,2020-04-12,商品房,2016-03-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
57,怡丰新都汇一期,119万,金水区 青少年公园 ,2室2厅1厨1卫,高楼层 (共34层),83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,集中供暖,有,2022-05-11,商品房,2011-05-31,普通住宅,满五年,非共有,有抵押 25万元 金融公司垫资,已上传房本照片,,,
58,文雅小区,106万,金水区 省中医院 ,3室2厅1厨1卫,低楼层 (共7层),99.95㎡,平层,88.92㎡,板楼,南,砖混结构,简装,一梯两户,集中供暖,无,2022-05-19,商品房,2016-08-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
59,中方园东区,132万,金水区 陈寨 ,3室2厅1厨2卫,中楼层 (共11层),134.9㎡,平层,108.96㎡,板楼,南,砖混结构,简装,一梯两户,自供暖,有,2022-04-03,商品房,2008-04-30,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
60,省民航社区,85万,金水区 省人民医院 近1号线燕庄站,3室1厅1厨1卫,中楼层 (共5层),68.35㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,暂无数据,2022-05-26,房改房,2007-05-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
61,二柴家属院,165万,金水区 文博广场 近2号线东风路站,3室1厅1厨1卫,中楼层 (共5层),72.14㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,2021-03-29,房改房,2000-07-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
62,天宏咖汇,130万,金水区 财富广场 近5号线姚砦站,3室1厅1厨1卫,高楼层 (共31层),92.03㎡,平层,暂无数据,塔楼,南,钢混结构,精装,六梯十六户,集中供暖,有,2022-03-04,商品房,2020-06-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
63,宏远小区,118万,金水区 财富广场 近5号线省人民医院站,4室2厅1厨2卫,中楼层 (共7层),155.76㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,自供暖,无,2021-11-27,商品房,1995-05-05,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
64,纬五路八号院,270万,金水区 花园路 近5号线省人民医院站,3室2厅1厨1卫,低楼层 (共28层),140㎡,平层,117.58㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2022-04-30,房改房,2014-08-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
65,华林都市家园,170万,金水区 南阳路 ,4室2厅1厨2卫,中楼层 (共6层),170.25㎡,平层,暂无数据,板楼,北 南,钢混结构,精装,一梯两户,集中供暖,无,2021-04-16,商品房,2019-06-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
66,文化绿城,155万,金水区 省中医院 ,3室2厅1厨2卫,中楼层 (共6层),132.11㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,2021-09-03,商品房,2019-09-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
67,金林公馆,168万,金水区 燕庄 近1号线燕庄站,3室2厅1厨1卫,低楼层 (共34层),88.84㎡,平层,66.86㎡,板塔结合,东南,钢混结构,简装,两梯六户,集中供暖,有,2022-03-30,商品房,2015-04-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
68,明珠小城,87万,金水区 沙口路 近5号线沙口路站,2室2厅1厨1卫,高楼层 (共6层),77.42㎡,平层,66.85㎡,板楼,南 北,混合结构,精装,两梯两户,自供暖,有,2022-08-07,商品房,2011-08-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
69,和昌悦澜,153万,金水区 新北站 近2号线刘庄站,3室2厅2厨1卫,高楼层 (共26层),89.45㎡,平层,80㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-08-05,商品房,2020-06-12,普通住宅,满两年,非共有,有抵押 90万元 建业银行 业主自还,已上传房本照片,,,
70,郑纺机前街2号院,105万,金水区 沙口路 ,3室2厅1厨1卫,中楼层 (共6层),82.04㎡,平层,72.38㎡,板楼,东 南,钢混结构,简装,一梯两户,自供暖,暂无数据,2022-08-03,商品房,2002-02-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
71,维也纳森林花园,133万,金水区 汽配大世界 ,3室2厅1厨1卫,中楼层 (共32层),93.98㎡,平层,70.94㎡,板楼,南,钢混结构,简装,两梯六户,集中供暖,有,2022-08-12,商品房,2014-08-04,普通住宅,满五年,非共有,有抵押 25万元,已上传房本照片,,,
72,经五路5号院,160万,金水区 花园路 近2号线黄河路站,2室1厅1厨1卫,中楼层 (共5层),61.55㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2022-08-11,房改房,2001-05-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
73,圣菲城,149.5万,金水区 徐寨 ,2室1厅1厨1卫,中楼层 (共22层),82.81㎡,平层,暂无数据,塔楼,西南,钢混结构,其他,两梯五户,自供暖,有,2022-08-13,商品房,2017-10-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
74,正弘数码公寓,85万,金水区 文博广场 近2号线东风路站,1室1厅1厨1卫,高楼层 (共32层),39.67㎡,平层,30.71㎡,板塔结合,南,钢混结构,简装,三梯十六户,集中供暖,有,2022-08-13,商品房,2014-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
75,鑫苑世家,215万,金水区 文博广场 近2号线东风路站,2室1厅1厨1卫,高楼层 (共15层),87.02㎡,平层,62.62㎡,塔楼,东南,钢混结构,精装,五梯二十二户,集中供暖,有,2022-08-13,商品房,2015-06-09,普通住宅,满五年,非共有,有抵押 110万元 建设 业主自还,已上传房本照片,,,
76,金印阳光城,118万,金水区 汽配大世界 近4号线陈寨东站,3室2厅1厨1卫,高楼层 (共6层),111.42㎡,平层,99㎡,板楼,南,混合结构,简装,一梯两户,自供暖,无,2022-08-09,商品房,2012-12-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
77,文雅小区,75万,金水区 省中医院 ,3室1厅1厨1卫,高楼层 (共7层),96.44㎡,平层,89.52㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,暂无数据,2022-07-30,商品房,2006-07-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
78,城中央,339万,金水区 大石桥 近3号线大石桥站,4室2厅1厨2卫,低楼层 (共11层),146.57㎡,平层,122.29㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-08-10,商品房,2014-12-01,普通住宅,满五年,非共有,有抵押 200,已上传房本照片,,,
79,开元小区,93万,金水区 南阳路 近3号线南阳新村站,3室1厅1厨1卫,高楼层 (共7层),110.35㎡,平层,99.93㎡,板楼,南,混合结构,精装,一梯两户,集中供暖,暂无数据,2022-08-05,商品房,2015-11-10,普通住宅,满五年,非共有,有抵押 45万元 工商银行 客户偿还,已上传房本照片,,,
80,思达大河春天A区,157万,金水区 绿茵广场 近3号线兴隆铺站,3室1厅1厨2卫,低楼层 (共6层),133.72㎡,平层,120.17㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,2022-08-02,商品房,2013-05-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
81,鑫苑世家,96.5万,金水区 文博广场 近2号线东风路站,1室0厅1厨1卫,中楼层 (共15层),42.61㎡,平层,暂无数据,板楼,北,钢混结构,简装,三梯十八户,集中供暖,有,2022-07-30,商品房,2018-02-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
82,和昌悦澜南苑,113万,金水区 新北站 近2号线刘庄站,2室2厅1厨1卫,低楼层 (共27层),75.21㎡,平层,55.78㎡,板塔结合,南,钢混结构,简装,两梯五户,集中供暖,有,2022-08-05,商品房,2019-02-08,普通住宅,满两年,非共有,有抵押 50万元 中原银行,已上传房本照片,,,
83,黄河路40号院,70万,金水区 青少年公园 ,2室1厅1厨1卫,低楼层 (共6层),71.82㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,自供暖,无,2022-08-13,商品房,2000-08-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
84,英地天骄华庭一期,210万,金水区 文博广场 近2号线东风路站,2室1厅1厨1卫,高楼层 (共33层),85.57㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2022-08-19,商品房,2017-07-15,普通住宅,满五年,非共有,有抵押 110万元 金融公司垫资,已上传房本照片,,,
85,开祥天下城,98万,金水区 大石桥 近3号线大石桥站,1室0厅1厨1卫,高楼层 (共11层),33.23㎡,平层,暂无数据,板楼,西,钢混结构,简装,两梯十二户,集中供暖,有,2022-08-21,商品房,2019-05-10,普通住宅,满两年,非共有,有抵押 30万元,已上传房本照片,,,
86,经七路46号院,102万,金水区 花园路 ,2室1厅1厨1卫,低楼层 (共6层),54.38㎡,平层,46.79㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2022-08-08,商品房,2015-08-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
87,金林公馆,168万,金水区 燕庄 近1号线民航路站,2室2厅1厨1卫,中楼层 (共34层),86.84㎡,平层,65.64㎡,板楼,南 北,钢混结构,精装,两梯六户,集中供暖,有,2022-08-02,商品房,2019-01-11,普通住宅,满两年,非共有,有抵押 100万元 中原银行,已上传房本照片,,,
88,天伦水晶城,143万,金水区 陈寨 ,3室2厅1厨1卫,中楼层 (共30层),109.49㎡,平层,85.92㎡,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,2022-08-06,商品房,2016-02-03,普通住宅,满五年,非共有,有抵押 80万元,已上传房本照片,,,
89,华林都市家园,105万,金水区 南阳路 ,2室2厅1厨1卫,中楼层 (共26层),81.42㎡,平层,65.76㎡,板楼,东 东南 南,钢混结构,精装,三梯八户,集中供暖,有,2022-07-30,商品房,2013-12-13,普通住宅,满五年,非共有,有抵押 30万元 金融公司垫资,已上传房本照片,,,
90,圣菲城,165万,金水区 徐寨 ,2室2厅1厨1卫,中楼层 (共32层),89.29㎡,平层,71.77㎡,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,2022-08-01,商品房,2012-11-26,普通住宅,满五年,非共有,有抵押 10万元,已上传房本照片,,,
91,正弘数码公寓,150万,金水区 文博广场 近2号线东风路站,2室1厅1厨1卫,低楼层 (共32层),69.86㎡,平层,暂无数据,板楼,南,钢混结构,精装,三梯二十三户,集中供暖,有,2022-08-14,商品房,2019-12-24,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
92,瀚宇新城,133万,金水区 索凌路北段 ,3室2厅1厨2卫,高楼层 (共27层),133.53㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2022-08-14,商品房,2019-01-25,普通住宅,满两年,非共有,有抵押 100万元 业主自还,已上传房本照片,,,
